demand,standard_deviation
18.00257248,1.036537868
18.74005917,1.011633722
16.53250268,0.922015942
15.64616806,0.990150497
13.09000743,0.941388222
12.75414798,0.979520362
12.56743773,1.748340354
26.23145305,2.012013489
29.73223739,1.939443799
30.17813769,1.933062454
29.13787102,2.170671277
26.56676514,1.452999523
24.05278494,1.893782816
14.13134265,1.331642877
14.42077135,1.521381651
27.1820659,2.023623322
41.4652234,3.15290259
54.87927372,4.35833976
60.32528116,3.544040121
55.22065469,4.696297479
33.9450002,3.662140676
32.35796193,2.832223832
30.49564569,3.009504547
25.45748078,3.176671484
